Week,Cumsls,,Cumsls2
1,7,,7
2,116,,118
3,288,,291
4,488,,489
5,696,,701
6,893,,906
7,1071,,1087
8,1232,,1254
9,1376,,1404
10,1518,,1550
11,1672,,1706
12,1821,,1855
13,1942,,1976
14,2052,,2092
15,2154,,2193
16,2251,,2290
17,2346,,2386
18,2442,,2484
19,2544,,2587
20,2610,,2656
21,2700,,2751
22,2787,,2840
23,2857,,2908
24,2923,,2975
25,2988,,3040
26,3056,,3113
27,3123,,3181
28,3197,,3258
29,3273,,3334
30,3330,,3392
31,3381,,3450
32,3459,,3534
33,3517,,3595
34,3595,,3678
35,3667,,3752
36,3734,,3821
37,3791,,3879
38,3874,,3963
39,3947,,4042
40,4025,,4121
41,4091,,4188
42,4153,,4252
43,4220,,4321
44,4291,,4390
45,4363,,4462
46,4410,,4513
47,4468,,4575
48,4514,,4623
49,4570,,4681
50,4606,,4719
51,4661,,4774
52,4703,,4818
53,4742,,4859
54,4816,,4935
55,4890,,5012
56,4967,,5090
57,5043,,5170
58,5129,,5258
59,5199,,5331
60,5258,,5396
61,5323,,5462
62,5396,,5535
63,5465,,5603
64,5525,,5663
65,5581,,5721
66,5658,,5800
67,5719,,5864
68,5775,,5921
69,5821,,5966
